"Texto","Sarcasmo"
"Roba el martell d’un jutge del Tribunal Suprem i indulta tots els presos independentistes","1"
"Ya hay más reencuentros de «Operación Triunfo» que ediciones de «Operación Triunfo»","1"
"Claro, todos llegarán a la hora acordada... seguro.","1"
"Un policía, no tan chulito ahora que tiene que ponerse a dirigir el tráfico","1"
"Rise of Ronin, el último videojuego de PS5, hace escala gastronómica en Málaga","0"
"PNV y PSE-EE alcanzan un preacuerdo para la constitución de un Gobierno Vasco de coalición","0"
"¿Qué son y para qué sirven los sumideros?","1"
"PP y Ciudadanos llegan a un acuerdo para compartir a su único votante en las elecciones vascas","1"
"Un niño se cuela en un comunicado del ISIS y despierta ternura en las redes sociales","1"
"La violencia entre hindúes y musulmanes causa al menos 27 muertos en Delhi","0"
"Las mejores viviendas en las que esconderte tras el triunfo de la derecha","1"
"Magdalena Álvarez acoge «emocionada» el fallo del Constitucional tras sufrir «más de 15 años de persecución» y «cacería»","0"
"Una brillante matemática maltratada por Einstein, las aventuras de Alejandro Magno, la disolución sentimental de la URSS según Haratischwili y otros libros de la semana","0"
"Autónomo que vivía en la calle se convierte en multimillonario al cobrar todas las facturas de golpe","1"
"Greenpeace reclama ""más ambición"" a España para frenar la emergencia climática e hídrica","0"
"Juicio a la exdirigente de Vox Cristina Seguí por difundir un video de dos menores víctimas de agresión sexual","0"
"Uno de cada tres pacientes con lesiones medulares esperan más de un día para ser operados","0"
"Netanyahu compara la ofensiva en Rafah con el Desembarco de Normandía","0"
"Pablo Alborán anuncia una tregua definitiva","1"
"¿Usas la 'nube' para guardar tus archivos? Estas son las precauciones mínimas que debes adoptar","0"
"El Gobierno acepta subir el salario mínimo de Susana Díaz","1"
"Así fue el adiós de la abuela Herminia: resumen del penúltimo episodio de ‘Cuéntame’","1"
"Ya cierra, Rick, está dañado.","0"
"Claro que no.","0"
"El reciclaje tiene premio para este colegio de Vélez-Málaga","0"
"Sommer. Tienes mucho que aprender, mi hulu.","0"
"Álex Ruiz y Momo González se meten en su primera semifinal del año","0"
"Sabes, en el colegio hay una chica, Elizabeth, y me contó que su madre comió sushi y que tenía gusanos y le salían después por los ojos.","0"
"Diccionario del nuevo material urbano: de las viviendas de barro en 3d a los  aislantes de cartón y papel","0"
"EE UU acusa a un agente indio de liderar un complot para asesinar a un líder sij en Nueva York","0"
"Los expertos reclaman un pacto para aprobar la ley del suelo e impulsar la construcción de viviendas","0"
"La CIA advirtió al Gobierno de que El Hormiguero pretendía volver este lunes","1"
"El 80% de los empleados están en contra de que su empresa les espíe, según revelan sus conversaciones privadas","1"
"Los buitres empiezan a seguir a los repartidores de comida rápida","1"
"Expulsada de una carnicería por enseñar la pechuga","1"
"¿A qué sabe el verano? Atrapar los aromas: la nueva revolución del helado","0"
"Cómo dormir correctamente","1"
"Roban en el coche de los escoltas del alcalde de Barcelona, Jaume Collboni","0"
"Los Erasmus que no se hayan acostado con nadie las primeras dos semanas perderán la beca","1"
"Miles de culés exigen la dimisión de Bartomeu por no participar en el torneo benéfico de Ibai Llanos","1"
"El esquí capea el temporal (y no de nieve)","0"
"Nuevas detenciones tras las explosiones en Tianjin","0"
"El Gobierno no es claro con el uso de la mascarilla en la oficina y miles de trabajadores no saben si tienen que seguir llevándola o bien dejar el trabajo para siempre y perseguir sus sueños","1"
"Previsión meteorológica: el tiempo hace 1500 millones de años","1"
"El United salva el desastre y vuelve a llevar el derbi de Mánchester a la final de la FA Cup","0"
"El borrado del Ministerio de la Mujer en Ecuador: ahora asume la política criminal","0"
"Empanadas venezolanas: otra delicia del país de las arepas y los tequeños","0"
"¿Existe la verdad, o solo interpretaciones?","0"
"Los payasos de hospital de España reivindican el humor en la atención sanitaria","0"
"Qué es una caja negra y cómo recopila y almacena los datos de tu coche","0"
"Así se forjan las amistades fugaces en las carreras populares: “Acabé gracias a ese empujón”","0"
"El camión pudo arrollar al control de la AP-4 en Sevilla por «distracción o despiste»","0"
"Siete lecciones para vencer la negatividad y ser más feliz","0"
"Descubren una partitura de Mozart para piano inédita","0"
"Cinco trucos para ahorrarte el alquiler viviendo en la oficina sin que tu jefe se entere","1"
"Madrid se abre al impresionismo de Monet con más de 50 obras en la primera exposición del artista","0"
"Albares reivindica la importancia de lograr la inmunización mundial","0"
"¡'Voilà' Canadá!","0"
"Michelangelo Pistoletto descubre la fórmula de la creación en el CAC","0"
"Steinhauser gana la etapa del Giro de Italia en los Dolomitas con la bendición de Pogacar","0"
"Una tasca con encanto clásico y excelencia gourmet","0"
"Onana mete al Manchester United en el horno","0"
"SEDAR explica que las cirugías realizadas en 2020 se redujeron en un 30%","0"
"España, entre una exigencia de oro y el relevo","0"
"El Govern promete que la Cataluña independiente tendrá jamón ibérico catalán, flamenco y un ‘Reial Madrit’","1"
"El volcán como latido","0"
"José María Aznar dice que, si siguen retirando tropas de Afganistán, al final tendrá que ir él","1"
"Millones de españoles, impacientes por dormirse con los Juegos Olímpicos","1"
"Four people investigated for wildfire in Tarifa which is being fought by 18 aircraft and 175 firefighters","0"
"Árbitro saca una tarjeta y acude el jugador con el datáfono","1"
"¿Covid o alergia?: estos son los síntomas que marcan la diferencia","0"
"La UE da pasos para permitir a Ucrania atacar objetivos en Rusia con material militar occidental","0"
"Todo lo que debes saber sobre la receta del verdadero 'hot dog' 🌭","0"
"Los hoteles añadirán cloro a las bebidas de los niños para mantener la piscina limpia","1"
"Un perro coloca un cartel de «Cuidado conmigo» en la puerta de su caseta","1"
"Los Charlines recuperan parte del patrimonio que no pudo decomisar la Audiencia Nacional hace dos décadas","0"
"Fran iba a morir, pero un tratamiento de 300.000 euros que ahora financia la sanidad pública le puede salvar la vida","0"
"“No te esfuerces, tú haz lo que puedas que tengo un vibrador” es la frase que más excita a los hombres durante el sexo","1"
"«Al principio me costó reírme de mí misma»","0"
"Las potencias de Oriente Próximo llevan su pugna al Kurdistán iraquí y amenazan su estabilidad","0"
"La fama puede proporcionar a las personas la capacidad de cambiar vidas a través de su trabajo.","0"
"¡Qué sorpresa! El mismo que llega tarde siempre lo hace otra vez.","1"
"Emily Dickinson y Juan Ramón Jiménez","0"
"Felipe VI se irá de vacaciones pero tendrá el móvil encendido por si los españoles necesitan «cualquier cosa»","1"
"El Estado empieza a despertar a los funcionarios para comunicarles el inicio de sus vacaciones","1"
"Los médicos jóvenes alertan de la falta de personal en zonas rurales","0"
" Es enorme.","0"
"Consejos para enfrentarse a los exámenes de Selectividad","1"
"¿Está tu casa preparada para acoger la ceremonia de los Oscar?","1"
"La lista con los 87 acusados por pederastia en la Iglesia española en el quinto informe de EL PAÍS","0"
"Receta para cocinar samosas","0"
"Almoguera reaparece tras su ausencia en la misa por su abuela","0"
"Nada como la sensación de que el dinero se va más rápido de lo que llega.","1"
"Siete cepillos para limpiar la barbacoa y dejarla como nueva","0"
"El asalto de refugiados norcoreanos desata una crisis entre China y Japón","0"
"Acabo de hacerlo.","0"
"Berberechos: las sirenas del aperitivo","1"
"Falafel, el éxito gastronómico sano y sencillo llegado de Oriente","0"
"Bien, pásamelo, Rick.","0"
"Quim Torra presenta el nuevo lazo con el que Cataluña afrontará por su cuenta la crisis del coronavirus","1"
"El PP considera que España y la izquierda valenciana le deben una disculpa a Camps","0"
"La cúpula fiscal avala el criterio de García Ortiz de amnistiar la malversación del 'procés'","0"
"Una ‘Zorra’ en Eurovisión 2024: claves de un festival con doblete español y marcado por la guerra de Gaza","0"
"Por qué debes apagar el WiFi del móvil cuando sales de casa","0"
"Doctor, me duele la espalda: el reto de tratar una de las principales causas de baja laboral","0"
"Una señora de Plasencia descubre una partícula subatómica con sus gafas de ver de cerca","1"
"'Zerolímites': la última mutación móvil de Tuenti","0"
"El desconocido fotógrafo sueco que retrató las calles de la España de Franco","0"
"Los españoles que viajan en metro piden también mascarillas para los sobacos","1"
"Sony revoluciona el mercado con un nuevo móvil que me regalan por escribir bien sobre él","1"
"El fado aristocrático en Galileo Galilei.","0"
"Los hijos de Christopher Reeve quieren que el mundo conozca cómo era Superman","0"
"UGT califica la afirmación de Garamendi de ""poco pensada o muy retrógrada""","0"
"La descomunal indecencia del silencio","0"
"La Isla de las Tentaciones y Pasapalabra se unen para que te puedas comer un rosco","1"
"Lou Bega torna a endarrerir la publicació de l’esperat «Mambo Number 6»","1"
"De polo y de cocina, así serán las nuevas series de los duques de Sussex para Netflix","0"
"Con este pantalón no pasarás calor este verano y lucirás increíble","0"
"Cómo gestionar las rabietas de los niños en siete sencillos pasos","1"
"Muere Neil Armstrong, el hombre que dio un gran salto para la humanidad","0"
"Regreso al ‘paradís’ de Milton","0"
"Así es el proyecto de 51 viviendas en alquiler que regenerará una zona de Ciudad Jardín en Málaga","0"
"Una primatóloga llevaba cinco años estudiando a un grupo de amigos creyendo que eran chimpancés","1"
"El teorema de Napoleón","0"
"China inicia la investigación sobre el 'dumping' de la carne de cerdo europea","0"
"Diez frases que te harán sentir muy mayor","1"
"Los dos supremacistas blancos de Lleida que se prepararon para una “guerra racial” afrontan entre 6 y 11 años de cárcel","0"
"Científicos captan una onda gravitacional que no pueden explicar pero tampoco es que tú puedas explicar las ondas normales","1"
"Putin llega a China para reafirmar la sintonía con su principal aliado diplomático","0"
"La crisis del limón: por qué el ceviche se ha convertido en un lujo para los peruanos","0"
"Esto es lo que opina nuestro contable Rubén sobre la decisión de usar su imagen para ilustrar este artículo","1"
"Estoy ansioso por el próximo partido de mi equipo favorito.","0"
"Muy bien.","0"
"Consejos para parir en casa","1"
"«Yo, por las mañanas, hasta que no he vendido dos millones de cafés, no soy persona», dice Kevin Johnson, el CEO de Starbucks","1"
"La estrategia del entrenador fue muy acertada, se notó en el resultado final.","0"
"Arabia Saudí ficha al científico español Fernando Maestre, uno de los más citados del mundo","0"
"La nevera de verano: alimentos sanos, rápidos y frescos para llevar a la playa o al río en vacaciones","0"
"Los jesuitas de Bolivia piden a la Fiscalía que reabra el caso del pederasta español que abusó y fotografió a un centenar de víctimas","0"
"Ante la amenaza del coronavirus, debería sacrificarse cuanto antes al nuevo perro de Teresa Romero","1"
"Rajoy advierte de que, si sigue lloviendo, la electricidad saldrá gratis","1"
"El fin de semana pasado jugamos al fútbol con mis amigos en el parque.","0"
"Países Bajos se despide de su joya gasística entre temblores","0"
"Menú semanal de El Comidista (15 a 21 de enero)","0"
"El triunfo de Adam Smith","0"
"José María Lassalle: “Meloni es una fascista e Italia, el laboratorio español”","0"
"Ángel León (Aponiente): «El futuro de la alimentación depende del mar»","0"
"George Orwell delató a 38 simpatizantes comunistas en los años de la guerra fría","0"
"Harry el sucio, indignado con el papel de Clint Eastwood en «Los puentes de Madison»","1"
"Un funcionario cree que tiene el ébola porque no tiene ganas de trabajar y se echaría una siesta de seis horas","1"
"Chenoa llena la plaza Karl Marx","0"
"La fama puede proporcionar una plataforma para defender la justicia y la igualdad.","0"
"Los mejores ratones inalámbricos y ergonómicos para el ordenador","0"
"Aparece el perro Mistetas","1"
"El servicio de información de la Zona de Bajas Emisiones de Torremolinos recibe 624 consultas desde febrero","0"
"Renfe pide que no se mande a más gente a cagar a la vía","1"
"La Galicia más irreverente suena en Galileo Galilei con Os Cempés","0"
"Siete sitios mejores que el sofá en los que dormir después de una discusión","1"
"La ciudad canadiense de Calgary se enfrenta a una emergencia por graves problemas en el suministro de agua potable","0"
"Diez pistas para saber si tu barrio se está gentrificando","1"
"Jatame: cocina de raíces asiáticas","0"
"Televisión Española sigue pagando en pesetas a los actores de “Cuéntame”","1"
"Ukraine v Estonia - Best Dunk - FIBA Basketball 2015","0"
"Tamaliza para el Día de la Candelaria","0"
"Sigue yendo al gimnasio pese a que ahora es un McDonald’s","1"
"«Cuéntame» avanzará diez años en cada bloque publicitario cuando se emita en Antena 3","1"
"Diez accesorios del hogar para hacer creer a las visitas que eres feliz","1"
"Artemis Fowl salta al cine y ya tiene tráiler","0"
"El CIS zanja la polémica: los españoles prefieren la tortilla con cebolla y poco hecha","0"
"Gustavo Petro y el derecho a la vanidad","0"
"El costo de las ciudades y los barrios turísticos para la salud de sus residentes","0"
"La ministra de Sanidad comparece con varias agujas clavadas en el cráneo tras olvidar quitárselas en su última sesión de acupuntura","1"
"Pablo Iglesias comparece avergonzado en el Congreso con la coleta verde porque puso demasiado cloro en la piscina de su chalé","1"
"Un bebé con crisis de madurez observa con preocupación cómo gana pelo día a día","1"
"Los agentes desplazados a Barcelona se rinden a la homosexualidad tras una semana en el mar","1"
"La materia gris es verde","0"
"Me sería incomodísimo que estuvieras abajo escuchando cómo lo hacemos.","0"
"La Unión Europea investiga formalmente a una chica de 13 años por difundir desinformación al decir que su amiga Esther se había enrollado con Fran cuando en realidad se enrolló con Juanlu","1"
"Estudiantes de Bellas Artes restauran el himen de Leticia Sabater","1"
"La NASA planea colocar una nave orbital en Plutón","0"
"Success for young Gibraltar gymnasts in Spain","0"
"Los Juegos Olímpicos de París ya tienen sus camas 'anti-sexo'","0"
"Un militante impugna la moción de censura contra la cúpula del PSOE de Torremolinos","0"
"Eso me gustaría.","0"
"La aventura de la muerte","1"
"Un estudio alerta de la afección del turismo masivo sobre el patrimonio","0"
"Platos de cuscús para la integración marroquí","0"
" Soy horrible.","0"
"La oposición surcoreana gana las elecciones legislativas y complica aún más la gestión del presidente","0"
"«'1984' de Orwell tiene tintes misóginos»","0"
"La medicina preventiva y el principio de precaución","0"
"Tres surfistas asesinados en México con balazos en la cabeza para robarles la furgoneta","0"
"Stefan Sagmeister, diseñador gráfico: «Disfruto las cosas que han sido creadas para ser feas intencionadamente»","0"
"Cinco lugares de tu casa en los que probablemente haya micrófonos del CNI","1"
"La Agencia Estatal de Investigación suspende su colaboración con el rector de la Universidad de Salamanca","0"
"El Barça confirma el clásico en la final con una apabullante victoria","0"
"El tribunal de la ONU ordena a Israel detener “de inmediato” la ofensiva contra Rafah","0"
"From Andalucía to Andalucía: 500 years since the first voyage around the world","0"
"Audiencias: TVE triunfa con la retransmisión del concierto de «Canción Triunfo» en el Palau Els Jordis de Barcelona","1"
"Esta es la programación del Manilva Pride","0"
"Dinero","0"
"Un día con la única paracaidista de la Patrulla Acrobática del Ejército del Aire: “Fue un orgullo por todas las que no han podido”","0"
"Educación limita a tres el número de alumnos a los que el profesor podrá tener manía","1"
"Realizan sacrificios humanos para invocar al sol en un piso que da a un patio interior sin luz","1"
"Por una Europa federal y posnacional","0"
"La comparecencia urgente ya es el método de comunicación más común entre los españoles","1"
"Lana del Rey, la diosa del Primavera Sound","0"
"Llama al Teléfono de la Esperanza y le atiende la novia de su ex","1"
"He empezado a reducir los gastos innecesarios para poder ahorrar más.","0"
"¿Quién teme a Charles Darwin?","0"
"Alex Honnold, el escalador más célebre de la historia, se la juega en un mundo en descomposición","0"
"‘Intención’","0"
"Pleno de victorias para los Tiburones de Málaga al comienzo de la Liga","0"
"Dos presentadores de TV3 con la «senyera» pintada en la cara informan con rigor y frialdad del escrutinio","1"
"Hallan el cadáver de un hombre en las redes de un pesquero al llegar al puerto de Fuengirola","0"
"Una simulación en 3D muestra cómo sería Teruel si existiera","1"
"Recibe una factura de la luz en ocho tomos y encuadernada en piel","1"
"La oposición vota en la elecciones de India mientras Modi da por hecho su triunfo","0"
" De acuerdo.","0"
"Películas de Abbas Kiarostami que no conoces","1"
"La inteligencia artificial resucita moléculas del mamut para crear antibióticos","0"
"Hallado en un proyectil el amenazador mensaje que las tropas de Julio César enviaron a las de Pompeyo","0"
"El padre de Materazzi recibe la mayor indemnización del fútbol chino","0"
"Neil Armstrong: ""Sé que la luna está esperando por nosotros""","0"
"La guerra entre Israel y Hamás radicaliza a la comunidad palestina de Nueva York","0"
"¡Oh, genial! Todos olvidaron traer lo que prometieron.","1"
"Pedro Sánchez da positivo en Covid y confina a toda la población para poder mantener su agenda oficial","1"
"Sí. Es completamente vital que sepas fingir la sinceridad.","0"
"Grupo Pascual lanza su nueva «Leche Desmotivada Pascual»","1"
"Cada canción de la radio recuerda a un ejecutivo su nueva fusión financiera","1"
"Las mejores ofertas de trabajo en Málaga en la semana del 27 de febrero al 5 de marzo de 2023","0"
"La Fiscalía de Madrid investigará al Ayuntamiento por la construcción de un segundo cantón en Vicálvaro","0"
"Andalucía trabaja en una ley para impulsar y promocionar la producción ecológica","0"
"Los 94 años de Clint Eastwood: pocos igualan a una de las últimas leyendas vivas de Hollywood","0"
"Nunca.","0"
"Un mendigo usa un iPad como cartel para pedir dinero","1"
"El Gobierno destina 23,34 millones de euros para llevar la banda ancha por fibra a zonas remotas de Andalucía","0"
"«El depósito del Vall d’Hebrón, un parking caro pero muy profesional»","1"
"Dos vehículos salen ardiendo en un paraje natural en Guaro obligando a activar el Plan Infoca","0"
