texto_machista,texto_inclusivo,nivel,subcategoria,pais,contexto,marcadores_linguisticos,explicacion
Eres una histérica,¿Qué pasó?,explicito,insultos_genero,México,citas,['eres' 'histérica'],Utiliza insultos específicos contra mujeres
"Estás loca, neta",Tu perspectiva es válida,explicito,insultos_genero,México,pareja,"['estás' 'loca,' 'neta']",Utiliza insultos específicos contra mujeres
"Órale, mujer loca contrólate",Tu perspectiva es válida,explicito,insultos_genero,México,familia,"['órale,' 'mujer' 'loca' 'contrólate']",Utiliza insultos específicos contra mujeres
"Compa, feminazi histérica wey",Conversemos con calma,explicito,insultos_genero,México,familia,"['compa,' 'feminazi' 'histérica']",Utiliza insultos específicos contra mujeres
Qué dramática eres no mames,¿Qué pasó?,explicito,insultos_genero,México,redes_sociales,['dramática' 'eres' 'mames'],Utiliza insultos específicos contra mujeres
Loca todas son iguales neta,¿Podemos hablar?,explicito,insultos_genero,México,calle,['loca' 'todas' 'iguales' 'neta'],Utiliza insultos específicos contra mujeres
"Chale, vieja dramática, wey",¿Qué pasó?,explicito,insultos_genero,México,redes_sociales,"['chale,' 'vieja' 'dramática,']",Utiliza insultos específicos contra mujeres
"Típico de mujer exagerar, ya que",Veo que estás molesta,explicito,insultos_genero,México,calle,"['típico' 'mujer' 'exagerar,']",Utiliza insultos específicos contra mujeres
"Compa, eres una histérica güey",Veo que estás molesta,explicito,insultos_genero,México,citas,"['compa,' 'eres' 'histérica' 'güey']",Utiliza insultos específicos contra mujeres
"Wey, mujer no opines",Conversemos con calma,explicito,insultos_genero,México,pareja,"['wey,' 'mujer' 'opines']",Utiliza insultos específicos contra mujeres
Pinche vieja siempre quejarse,Veo que estás molesta,explicito,insultos_genero,México,redes_sociales,['pinche' 'vieja' 'siempre' 'quejarse'],Utiliza insultos específicos contra mujeres
Vieja dramática,¿Qué pasó?,explicito,insultos_genero,México,social,['vieja' 'dramática'],Utiliza insultos específicos contra mujeres
"Chale, qué dramática eres, güey",¿Podemos hablar?,explicito,insultos_genero,México,calle,"['chale,' 'dramática' 'eres,' 'güey']",Utiliza insultos específicos contra mujeres
Siempre exagerando todo chale,Conversemos con calma,explicito,insultos_genero,México,pareja,['siempre' 'exagerando' 'todo' 'chale'],Utiliza insultos específicos contra mujeres
"Mujer no opines, entonces wey",Tu perspectiva es válida,explicito,insultos_genero,México,citas,"['mujer' 'opines,' 'entonces']",Utiliza insultos específicos contra mujeres
"Güey, vieja dramática",¿Podemos hablar?,explicito,insultos_genero,México,educativo,"['güey,' 'vieja' 'dramática']",Utiliza insultos específicos contra mujeres
"Órale, típico de mujer exagerar",Conversemos con calma,explicito,insultos_genero,México,educativo,"['órale,' 'típico' 'mujer' 'exagerar']",Utiliza insultos específicos contra mujeres
Feminazi intensa,Conversemos con calma,explicito,insultos_genero,México,familia,['feminazi' 'intensa'],Utiliza insultos específicos contra mujeres
"Güey, típico de mujer exagerar órale",Respeto tu opinión,explicito,insultos_genero,México,redes_sociales,"['güey,' 'típico' 'mujer' 'exagerar']",Utiliza insultos específicos contra mujeres
Siempre exagerando todo,Tu perspectiva es válida,explicito,insultos_genero,México,educativo,['siempre' 'exagerando' 'todo'],Utiliza insultos específicos contra mujeres
"Chale, estás loca, pues",Tu perspectiva es válida,explicito,insultos_genero,México,pareja,"['chale,' 'estás' 'loca,' 'pues']",Utiliza insultos específicos contra mujeres
"Qué dramática eres, neta",Respeto tu opinión,explicito,insultos_genero,México,educativo,"['dramática' 'eres,' 'neta']",Utiliza insultos específicos contra mujeres
"Neta, estás loca",Entiendo tu punto,explicito,insultos_genero,México,educativo,"['neta,' 'estás' 'loca']",Utiliza insultos específicos contra mujeres
"Órale, eres muy intensa",Veo que estás molesta,explicito,insultos_genero,México,familia,"['órale,' 'eres' 'intensa']",Utiliza insultos específicos contra mujeres
"Güey, típico de chava exagerar",¿Podemos hablar?,explicito,insultos_genero,México,social,"['güey,' 'típico' 'chava' 'exagerar']",Utiliza insultos específicos contra mujeres
"No mames, callate mujer",Veo que estás molesta,explicito,insultos_genero,México,social,"['mames,' 'callate' 'mujer']",Utiliza insultos específicos contra mujeres
"Mujer loca contrólate, mira",Conversemos con calma,explicito,insultos_genero,México,educativo,"['mujer' 'loca' 'contrólate,' 'mira']",Utiliza insultos específicos contra mujeres
Feminazi histérica compa,¿Qué pasó?,explicito,insultos_genero,México,citas,['feminazi' 'histérica' 'compa'],Utiliza insultos específicos contra mujeres
Mujer loca contrólate no mames,¿Qué pasó?,explicito,insultos_genero,México,pareja,['mujer' 'loca' 'contrólate' 'mames'],Utiliza insultos específicos contra mujeres
"No seas alterada, órale",Veo que estás molesta,explicito,insultos_genero,México,redes_sociales,"['seas' 'alterada,' 'órale']",Utiliza insultos específicos contra mujeres
"No seas histérica, compa",Tu perspectiva es válida,explicito,insultos_genero,México,citas,"['seas' 'histérica,' 'compa']",Utiliza insultos específicos contra mujeres
"Qué dramática eres, no mames",¿Qué pasó?,explicito,insultos_genero,México,calle,"['dramática' 'eres,' 'mames']",Utiliza insultos específicos contra mujeres
"Qué dramática eres, así que",¿Podemos hablar?,explicito,insultos_genero,México,calle,"['dramática' 'eres,']",Utiliza insultos específicos contra mujeres
"Compa, vieja argüendera, ya que güey",Veo que estás molesta,explicito,insultos_genero,México,laboral,"['compa,' 'vieja' 'argüendera,' 'güey']",Utiliza insultos específicos contra mujeres
"Vieja dramática, mira",Conversemos con calma,explicito,insultos_genero,México,educativo,"['vieja' 'dramática,' 'mira']",Utiliza insultos específicos contra mujeres
"Compa, siempre exagerando todo",¿Qué pasó?,explicito,insultos_genero,México,pareja,"['compa,' 'siempre' 'exagerando' 'todo']",Utiliza insultos específicos contra mujeres
Estás loca,¿Qué pasó?,explicito,insultos_genero,México,laboral,['estás' 'loca'],Utiliza insultos específicos contra mujeres
"Neta, callate mujer, mira",Veo que estás molesta,explicito,insultos_genero,México,pareja,"['neta,' 'callate' 'mujer,' 'mira']",Utiliza insultos específicos contra mujeres
