Pais,Continente
Albania,Europa
Angola,Africa
Argentina,America
Australia,Oceania
Austria,Europa
Bangladesh,Asia
Belarus,Europa
Belgium,Europa
Belize,America
Bolivia,America
Botswana,Africa
Brazil,America
Cambodia,Asia
Canada,America
Cayman Islands,America
Chile,America
Colombia,America
Congo,Africa
Costa Rica,America
Croatia,Europa
Czech Republic,Europa
Denmark,Europa
Dominican Republic,America
Ecuador,America
El Salvador,America
Estonia,Europa
Finland,Europa
France,Europa
Georgia,Asia
Germany,Europa
Greece,Europa
Honduras,America
Hungary,Europa
India,Asia
Indonesia,Asia
Iraq,Asia
Ireland,Europa
Italy,Europa
Kenya,Africa
Lesotho,Africa
Lithuania,Europa
Macedonia,Europa
Mali,Africa
Malta,Europa
México,America
Montenegro,Europa
Morocco,Africa
Mozambique,Africa
Namibia,Africa
New Zealand,Oceania
Nicaragua,America
Norway,Europa
Pakistan,Asia
Panama,America
Paraguay,America
Peru,America
Poland,Europa
Qatar,Asia
Romania,Europa
Russia,Europa y Asia
Serbia,Europa
Slovakia,Europa
Somalia,Africa
South Africa,Africa
España,Europa
Swaziland,Africa
Sweden,Europa
Tanzania,Africa
The Netherlands,Europa
Turkey,Europa
Ukraine,Europa
United Kingdom,Europa
United States,America
Uruguay,America
Venezuela,America
Zambia,Africa
Zimbabwe,Africa
