sentence1,sentence2,score,source
"La comida china tradicional se basa en la filosofía de equilibrio entre el yin y el yang, y el uso de ingredientes frescos.","Los principios de la cocina china se centran en el equilibrio entre los sabores dulce y salado, así como en el uso de productos naturales.",0.4000,GPT
El neokantismo es una corriente filosófica que busca revitalizar los principios del pensamiento de Immanuel Kant en el contexto moderno.,Los neokantianos buscan actualizar los conceptos de Immanuel Kant para aplicarlos a la filosofía contemporánea.,0.4000,GPT
"La teoría de la paridad del poder adquisitivo sostiene que en el largo plazo, los tipos de cambio entre dos monedas deben ajustarse para reflejar las diferencias en los niveles de precios de los países.","La teoría de la paridad del poder adquisitivo se refiere a la relación entre los niveles de precios de los países y los tipos de cambio entre dos monedas, con el objetivo de mantener el equilibrio a largo plazo.",0.3000,GPT
¿Por qué los atletas de élite necesitan un equipo de apoyo multidisciplinario?,Los atletas de élite requieren una variedad de profesionales para ayudarles a alcanzar el éxito a nivel deportivo.,0.2000,GPT
El concepto de Dios varía según las diferentes religiones y creencias espirituales.,Las visiones de Dios son diferentes entre las distintas religiones y prácticas espirituales.,0.7000,GPT
"La Revolución Industrial en Japón a finales del siglo XIX transformó al país en una potencia industrial y militar, cambiando su posición en el escenario mundial.","La Revolución Industrial en Japón a finales del siglo XIX contribuyó a la modernización del país, permitiéndole alcanzar una posición de liderazgo en el ámbito internacional.",0.5000,GPT
El sistema de gobierno de tecnoautoritarismo se caracteriza por el uso de tecnologías de vigilancia y control por parte del gobierno para mantener el poder.,El gobierno ejerce el poder mediante el uso de tecnologías de vigilancia y control en un sistema de gobierno tecnoautoritario.,1.0000,GPT
"La educación en educación para la igualdad racial y la justicia social promueve el respeto, la inclusión y la igualdad de oportunidades para todas las razas y etnias.",La tecnología de última generación ha permitido a las personas conectarse entre sí de maneras más rápidas y eficientes que nunca.,0.0000,GPT
"El trastorno de sueño de bruxismo consiste en apretar o rechinar los dientes de manera involuntaria durante el sueño, lo que puede provocar desgaste dental y problemas mandibulares.","Durante el sueño, el bruxismo se caracteriza por un apretamiento o rechinamiento involuntario de los dientes, lo que puede causar desgaste dental y problemas en la mandíbula.",0.9000,GPT
"El mercado negro de divisas implica transacciones no autorizadas o ilegales de monedas extranjeras, y puede surgir en países con restricciones cambiarias.","Las transacciones de monedas extranjeras sin autorización o ilegales pueden surgir en países con restricciones cambiarias, y se conocen como el mercado negro de divisas.",0.8000,GPT
"La música nos une como seres humanos y trasciende las barreras culturales, generando un sentido de unidad y armonía.","La música nos permite compartir experiencias comunes, independientemente de nuestras diferencias culturales, creando un sentido de conexión y empatía.",0.3000,GPT
¿Cuáles son los países con mayor producción de vino en el mundo?,¿Cuáles son los países que tienen la mayor cantidad de viñedos en el mundo?,0.4000,GPT
El sistema de gobierno de meritocracia tecnocrática se basa en la selección y promoción de líderes y funcionarios públicos en función de sus conocimientos y competencias técnicas.,Los líderes y funcionarios públicos bajo el sistema de gobierno de meritocracia tecnocrática son seleccionados y promovidos de acuerdo a sus habilidades y experiencia.,0.5000,GPT
Los estampados florales dan un toque romántico a cualquier conjunto.,Los estampados florales aportan una sensación de romanticismo a cualquier atuendo.,0.4000,GPT
El poder ejecutivo es la rama del gobierno encargada de implementar y hacer cumplir las leyes y políticas públicas.,El Poder Ejecutivo es una de las principales fuerzas detrás de la formulación de políticas públicas que afectan a la sociedad.,0.3000,GPT
La espiritualidad nos inspira a vivir con gratitud y apreciación por las bendiciones y experiencias de la vida.,La espiritualidad nos motiva a abrazar la vida con gratitud y valorar todos los regalos y oportunidades que nos ofrece.,0.2000,GPT
¿Cómo se juega al rugby de siete jugadores?,¿Cuáles son las reglas para jugar al rugby de siete jugadores?,0.8000,GPT
¿Cuáles son los principales componentes de una célula animal?,¿Qué funciones realizan los principales componentes de una célula animal?,0.5000,GPT
La depresión es una enfermedad mental grave que afecta a millones de personas en todo el mundo.,Millones de personas en todo el mundo sufren de la enfermedad mental grave conocida como depresión.,1.0000,GPT
¿Cómo se cocina una paella valenciana auténtica?,¿Qué ingredientes se necesitan para preparar una paella valenciana auténtica?,0.9000,GPT
¿Por qué es esencial entender los conceptos de oferta y demanda en economía?,¿Cómo afectan los conceptos de oferta y demanda a la economía?,0.5000,GPT
El test de Kolmogorov-Smirnov es una prueba estadística no paramétrica que se utiliza para comparar la distribución de una muestra con una distribución de referencia.,Los drones se están volviendo cada vez más populares como herramientas de vigilancia y entrega de paquetes.,0.1000,GPT
La deuda externa es la cantidad de dinero que un país debe a entidades extranjeras y puede afectar la estabilidad económica y la soberanía del país.,"Un país puede verse afectado en su estabilidad económica y soberanía por la cantidad de dinero que debe a entidades extranjeras, conocida como deuda externa.",0.9000,GPT
¿Quiénes son los actores y actrices más premiados en la historia de los Premios de la Academia (Oscar)?,¿Qué actores y actrices han recibido el mayor número de premios de la Academia (Oscar) a lo largo de la historia?,0.7000,GPT
"¿Cuál es el nombre de la obra de Shakespeare que contiene la frase ""Ser o no ser, esa es la cuestión""?","¿Qué frase célebre de Shakespeare se encuentra en la obra ""Hamlet""?",0.4000,GPT
"La medicina tropical veterinaria se enfoca en el diagnóstico y tratamiento de enfermedades tropicales en animales, como la leishmaniasis y la fiebre del Nilo Occidental.","La medicina tropical veterinaria se centra en la prevención de enfermedades tropicales en animales, como la leishmaniasis y la fiebre del Nilo Occidental.",0.3000,GPT
El análisis de sensibilidad escenario por escenario evalúa cómo cambios específicos en variables clave afectarían los resultados financieros de un proyecto o inversión.,Los estudios de impacto ambiental miden el efecto de un proyecto en el medio ambiente para determinar si es viable.,0.1000,GPT
El polo es un deporte ecuestre en el que dos equipos montados a caballo compiten por golpear una pelota con un taco largo hacia el gol del equipo contrario.,Los equipos montados a caballo compiten en el deporte ecuestre del polo para golpear una pelota con un taco largo hacia el gol del equipo oponente.,1.0000,GPT
La estadística no paramétrica es un enfoque que se utiliza cuando no se hacen suposiciones sobre la distribución de los datos o la forma de la relación entre las variables.,"Los datos no necesitan seguir una distribución específica para ser analizados con la estadística no paramétrica, que es una forma de abordar los datos sin hacer suposiciones sobre la relación entre las variables.",0.2000,GPT
La política de educación se centra en el desarrollo y la implementación de políticas y programas educativos para garantizar el acceso y la calidad de la educación en un país.,El gobierno se concentra en la formulación y ejecución de políticas y programas educativos para asegurar el acceso y la excelencia educativa en un país.,0.8000,GPT
Los escritores utilizan el recurso literario del oxímoron para unir términos contradictorios y crear un efecto poético o irónico.,Los deportistas profesionales a menudo se esfuerzan por mejorar sus habilidades mediante la práctica y el entrenamiento.,0.1000,GPT
"El deporte de la equitación involucra montar a caballo y participar en disciplinas como salto, doma y carreras.","Los caballos son una parte integral de la equitación, ya que se usan para competir en eventos como el salto, la doma y las carreras.",0.3000,GPT
La escritura periodística de opinión nos permite expresar nuestras ideas y perspectivas sobre temas de actualidad.,Los artículos periodísticos de opinión nos ofrecen la oportunidad de compartir nuestras opiniones y puntos de vista sobre asuntos relevantes.,0.6000,GPT
"Los algoritmos de aprendizaje automático están impulsando avances en el reconocimiento de voz, la traducción automática y la visión por computadora.","Los algoritmos de aprendizaje automático están permitiendo a las empresas aprovechar los avances en el reconocimiento de voz, la traducción automática y la visión por computadora.",0.5000,GPT
"La gestión de la excelencia operativa busca alcanzar altos estándares de calidad, eficiencia y productividad en todas las operaciones.","La gestión de la excelencia operativa persigue lograr niveles elevados de calidad, eficiencia y productividad en todas las operaciones.",0.9000,GPT
¿Por qué algunas formas de arte desafían las normas establecidas y provocan reflexión?,¿Cómo algunas formas de arte cuestionan las convenciones y estimulan la reflexión?,0.9000,GPT
El interés compuesto permite que el dinero crezca más rápidamente a lo largo del tiempo.,El interés compuesto acelera el crecimiento del dinero a lo largo del tiempo.,0.9000,GPT
