idx,question,answer,label
0,¿Qué te gusta hacer en tu tiempo libre?,"Me encanta leer libros, especialmente novelas de misterio. Además, disfruto de ir al cine y salir con amigos.",Hobbies
1,¿Qué tipo de viajes has hecho recientemente?,Acabo de visitar Barcelona y fue una experiencia increíble. Disfruté mucho de la arquitectura y la gastronomía local.,Travel
2,¿Qué es lo que más te molesta en tu trabajo?,La falta de comunicación y la incomprensión entre los miembros del equipo.,Work
3,¿Cómo pasas tus fines de semana?,"Prefiero relajarme en casa, ver series o ir al cine con amigos.",Daily Life
4,¿Qué tipo de música te gusta escuchar?,"Me gusta todo tipo de música, desde el rock clásico hasta la música electrónica contemporánea.",Personal
5,¿Qué hobbies practicas para relajarte?,Cuando tengo tiempo libre me gusta hacer yoga y meditar. También disfruto de la fotografía y pasear por la naturaleza.,Hobbies
6,¿Has viajado al exterior alguna vez?,"Sí, he viajado a muchos países diferentes. Creo que es una de las experiencias más enriquecedoras de la vida.",Travel
7,¿Qué piensas sobre el nuevo proyecto de la empresa?,Estoy muy entusiasmado con el nuevo proyecto. Creo que nuestro equipo tiene las habilidades para hacerlo un éxito.,Work
8,¿Qué hiciste ayer por la mañana?,"Me levanté temprano, desayuné café con leche y estudié para mi examen de matemáticas.",Daily Life
9,¿Qué tipo de música te gusta escuchar?,Me encanta el rock clásico. Mis bandas favoritas son The Beatles y Led Zeppelin.,Personal
10,¿Qué actividades realizas durante el verano?,"Me encanta hacer surf, especialmente en la playa de Marbella. También disfruto de la pesca y jugar al fútbol con mis amigos.",Hobbies
11,¿Qué lugares debería visitar en Japón?,"Debes visitar Tokio, Kioto, y Fukuoka. Tokio tiene una gran diversidad de culturas, mientras que Kioto es conocida por su historia y sus templos. Fukuoka es una ciudad vibrante con una mezcla única de culturas.",Travel
12,¿Cómo se organiza el día laboral?,"Mis días laborales son bastante estructurados. Primero, me siento en el escritorio para planificar mis tareas del día, luego, atiendiendo llamadas y manejando correos electrónicos. Después, realicé una reunión importante con el equipo de ventas.",Work
13,¿Qué haces para mantenerte activo físicamente?,"Me gusta hacer ejercicio todos los días, generalmente voy al gimnasio o hago caminatas al aire libre.",Daily Life
14,¿Cuál es tu mejor recuerdo de la infancia?,Mi mejor recuerdo fue cuando viajé a Perú con mi familia para conocer a mi abuela. Esa fue una experiencia muy especial.,Personal
15,¿Por qué lees tanto libros?,"Leer me permite escapar de la realidad y sumergirme en mundos ficticios. Además, aprendo mucho al mismo tiempo.",Hobbies
16,¿Cuál es tu destino de viaje favorito?,"Me encanta visitar Japón, especialmente para experimentar su cultura única y su comida deliciosa.",Travel
17,¿Cómo te sientes sobre el horario de trabajo actual?,"Me siento justo. Creo que se necesita un equilibrio entre la vida laboral y personal, pero el horario actual es razonable.",Work
18,¿Cuál es tu rutina de ejercicio diario?,Normalmente voy al gimnasio para hacer ejercicio durante una hora en la mañana.,Daily Life
19,¿Qué tipo de películas prefieres ver?,"Personalmente, disfruto mucho de las comedias románticas y películas de suspense. Títulos como 'Crazy, Stupid, Love.' y 'The Silence of the Lambs' son mis favoritos.",Personal
20,¿Qué tipo de arte practicas?,"Practico la pintura y el dibujo. Me gusta especialmente el arte moderno y abstracto, y también la fotografía.",Hobbies
21,¿Cómo hago para viajar económicamente?,"Para viajar económicamente, deberías considerar viajar en temporada baja, buscar vuelos en línea para comparar precios y buscar opciones de hospedaje como Airbnb o hostales.",Travel
22,¿Cómo se gestiona el tiempo en tu oficina?,Tenemos reuniones de equipo cada semana y hemos implementado la técnica Pomodoro para mejorar la productividad individual. El manejo del tiempo es un tema clave en nuestra cultura corporativa.,Work
23,¿Cómo te relajas después de un día largo?,Normalmente me relajo leyendo un libro o viendo una serie. Un poco de música también ayuda.,Daily Life
24,¿Cuál es tu actitud hacia el trabajo?,Tengo una actitud muy dedicada y responsable. Estoy siempre dispuesto a aprender y mejorar.,Personal
25,¿Qué tipo de deportes practicas?,Soy aficionado al ciclismo. Me encanta ir en bicicleta por las montañas y aprovechar el aire fresco.,Hobbies
26,¿Cuáles son los lugares que más te gustaría visitar?,Sería maravilloso visitar lugares como la Ciudad del Vaticano y la Gran Muralla China.,Travel
27,¿Qué es lo que más te gusta de tu trabajo actual?,"Me encanta la cultura de trabajo aquí, los proyectos interesantes y la retroalimentación positiva de mis colegas y supervisores.",Work
28,¿Cómo te relajas después de un largo día de trabajo?,Me gusta leer un buen libro o ver una serie para relajarme.,Daily Life
29,¿Cuál es tu receta favorita de cocina?,Me encanta preparar paella. Es un plato que he heredado de mi abuela y siempre disfruto cocinándolo para mis amigos y familia.,Personal
30,¿Qué clases o cursos tienes en tu horario?,Estoy tomando clases de cocina española. Me encanta aprender a preparar platos tradicionales y experimentar con nuevas recetas.,Hobbies
31,¿Qué precauciones debo tomar al viajar al extranjero?,"Es importante mantenerte informado sobre las políticas de viaje y visas de tu país, y hacer reservas para transportes y alojamientos. También, lleva contigo las credenciales de identificación, como tu pasaporte y visa. Mantén tu dinero en monedas locales y tienes un plan de emergencia.",Travel
32,¿Cómo se lleva a cabo la comunicación en tu empresa?,"En mi empresa, utilizamos una combinación de reuniones presenciales, videoconferencias y correo electrónico para la comunicación interna y externa.",Work
33,¿Cuál es tu rutina matutina?,"Me levanto temprano, desayuno, y luego me preparo para el día. A veces me gusta hacer ejercicio antes de ir al trabajo.",Daily Life
34,¿Qué es lo que más valoras en una amistad?,La confianza y el apoyo mutuo son lo que más valoro en una amistad.,Personal
35,¿Qué tipo de películas prefieres ver en casa?,Disfruto viendo películas de ciencia ficción y fantasía. Son mis favoritas para disfrutar en un día relajado.,Hobbies
36,¿Qué aspectos de la cultura local buscas cuando viajas?,"Busco conocer la gastronomía local, las tradiciones y las celebraciones de cada lugar.",Travel
37,¿Cómo se manejan las reuniones semanales?,Se realiza con un plan y cada asistente tiene que preparar un resumen de los avances de su equipo. Es muy productivo.,Work
38,¿Qué comes para el almuerzo hoy?,He preparado una ensalada con verduras frescas y carne de pavo.,Daily Life
39,¿Cuál es tu mejor recuerdo de un viaje?,Fue cuando visité Perú y pude explorar Machu Picchu. Fue un viaje inolvidable.,Personal
40,¿Qué tipos de deportes practicas?,Me encanta el voleibol y el tenis. Practico esos deportes en el gimnasio de la ciudad o en un parque local.,Hobbies
41,¿Cómo preparar el equipaje para un viaje de larga distancia?,"Deberías llevar ropa cómoda y versátil, llevar artículos de higiene personal, adaptadores de corriente y un mapa. También, asegúrate de hacer una lista de lo que necesitas para el viaje y revisa tu itinerario antes de salir.",Travel
42,¿Qué tipo de proyectos estás trabajando en este momento?,"En este momento, estoy involucrado en un proyecto de desarrollo de software que implica la creación de una nueva aplicación móvil.",Work
43,¿Qué alimentos sueles comer para mantenerte saludable?,"Trato de comer bastante frutas y verduras, y me evito las comidas rápidas. Además, bebo mucha agua.",Daily Life
44,¿Qué opinas sobre la tecnología actual?,"Pienso que la tecnología ha mejorado nuestras vidas de muchas maneras, pero también hay que ser conscientes de sus limitaciones y efectos en nuestra salud.",Personal
45,¿Qué tipo de música te gusta escuchar en tu tiempo libre?,Me encanta la música clásica y el jazz. Es perfecto para relajarme y mejorar mi concentración.,Hobbies
46,¿Prefieres viajar en avión o en barco?,Prefiero viajar en avión porque me permite visitar más lugares en menos tiempo.,Travel
47,¿Qué tipo de desafíos enfrentas en tu trabajo diario?,"Debo equilibrar varias tareas a la vez, lo que a veces es un poco estresante. Pero eso también me mantiene motivado.",Work
48,¿Qué actividades planificas para el fin de semana?,Voy a ver una película con amigos y luego a hacer un picnic en el parque.,Daily Life
49,¿Qué es lo que más te gusta hacer los fines de semana?,Siempre disfruto de pasar tiempo con mi familia y nuestros perros. Me encanta pasear en el parque y luego cenar en nuestra casa.,Personal
50,¿Qué tipo de películas te gusta ver en casa?,Me encanta ver películas de comedia romántica y películas de aventuras. Disfruto de los relatos entretenidos y emocionantes.,Hobbies
51,¿Cuáles son las mejores recomendaciones de viaje para las personas con ahorro?,"Las mejores recomendaciones para personas con ahorro son viajar durante la temporada baja, considerar destinos menos concurridos y planificar tus viajes con anticipación para encontrar los mejores precios.",Travel
52,¿Cómo se resuelven los conflictos en el trabajo?,"Nos fijamos en la resolución de conflictos a través de la comunicación abierta y la negociación. Si hay un conflicto, intentamos entender las perspectivas de todas las partes involucradas.",Work
53,¿Cómo te relajas durante el fin de semana?,"Normalmente me relajo con mi familia, vamos a parques o hacemos actividades juntos.",Daily Life
54,¿Cómo manejas el estrés?,Me gusta hacer yoga y meditar para mantenerme relajado y centrado.,Personal
55,¿Qué tipo de libros te gusta leer?,Me encanta la literatura histórica y de misterio. Me mantienen atento y me mantienen despierto.,Hobbies
56,¿Cuáles son las diferencias más notables entre viajar en verano y en invierno?,"En verano, disfruto de las playas y actividades al aire libre, mientras que en invierno me encanta la nieve y las excursiones de esquí.",Travel
57,¿Cómo te manejas con el estrés en el trabajo?,"Utilizo técnicas de relajación y meditación. Además, hablo con mis colegas y supervisores cuando me siento abrumado.",Work
58,¿Cómo vas a mantenerte organizado esta semana?,Utilizaré un diario y aplicaciones de gestión de tareas para asegurarme de hacer todas mis actividades.,Daily Life
59,¿Qué actividad te ayuda a relajarte?,Practicar yoga es mi forma de relajarme. También me gusta leer o escuchar música tranquila.,Personal
60,¿Qué pasatiempos tienes que sean únicos?,Realizo senderismo en montañas cercanas. Disfruto de la naturaleza y la aventura al explorar nuevos senderos.,Hobbies
61,¿Qué precauciones debo tomar al viajar solo?,"Es importante estar informado sobre las leyes y costumbres del país que visitas, llevar tu documentación necesaria y no exponer tus pertenencias en lugares públicos. También, mantente conectado con alguien que conozca tus planes y esté al tanto de tu itinerario.",Travel
62,¿Cómo te mantienes motivado en tu trabajo?,"La pasión por mi campo y el respaldo de mi equipo me mantienen motivado. Además, las metas claras y el reconocimiento por mi esfuerzo contribuyen a mi motivación.",Work
63,¿Qué actividades te gusta hacer en tu tiempo libre?,"Me gusta ver deportes, ver películas y pasar tiempo con amigos.",Daily Life
64,¿Cuál es tu plan para este fin de semana?,Voy a descansar en casa y leer un buen libro.,Personal
65,¿Qué tipo de actividades realizas en el agua?,Me encanta nadar y hacer surf. Es una forma fantástica de ejercitar y despejar mi mente.,Hobbies
