text,label
Todo parece indicar que se abre una oportunidad única para reconstruir las maltrechas relaciones entre Washington y Moscú después de años de desconfianza y recelo mutuo.,1
"Desde finales de la década, Chile ha pasado a ocupar un lugar destacado entre los productores mundiales de vino.",1
"Son alrededor de 60 lenguas habladas en Brasil, Uruguay, Paraguay, noreste de Argentina y este de Bolivia.",1
Su ausencia solo podrá justificarse por prescripción del equipo médico de la FETRI.,1
No sé dónde ir de luna de miel.,1
"No he renunciado a mivida por ella, como piensa mucha gente.",0
No hay solución si no se conocen las causas del malestar: nosotros le ayudamos a descubrirlas.,0
"Pretende ofrecer una respuesta a la cuestión de por qué, en economías avanzadas, con mercados de trabajo y con altas tasas de paro, se produce, sin embargo, una demanda adicional de trabajadores inmigrantes (paradoja de la demanda adicional en mercados con exceso de oferta).",1
La autora ha constatado que muchos de sus compatriotas en las grandes urbes americanas se sienten ansiosos si no tienen su agenda llena de cosas a cada minuto.,1
"Y ese proceso sólo lo podemos hacer quitándonos todas esas capas de cebolla, las máscaras que la masculinidad nos ha ido imponiendo, todo lo que siempre ha implicado ser 'un hombre de verdad'.",0
Nos sentábamos en círculo y rezábamos un rosario tras otro.,0
"Fue testigo del golpe de Estado en Chile, padeció la represión, el exilio, la pobreza y la enfermedad.",1
"Si se borra el pasado, se enturbia el presente y se pierde la visión del porvenir.",0
El estudio reveló también que solo una quinta parte de los empresarios considera que el grado académico hace destacar a un postulante sobre su competencia.,1
"Si prospera, las autoridades se encargarán de buscar al deudor para que afronte los pagos.",1
"Más de una cuarta parte de los reclutadores señaló que juzga al posible personal por educación en el trato personal, seguridad y limpieza en su apariencia.",1
En la asamblea se decide el calendario de la escuela.,1
He sacado un 5.,0
La segunda parte está compuesta por la didactización de dos cortometrajes españoles.,1
"Las guerras y la inestabilidad configuraron ciudades pequeñas, de apenas unos 15000 habi-tantes, de marcado carácter agricola y sin apenas edificios públicos.",1
"Incinerar, dispersar, conservar: no suenan muy a favor de la convivencia entre vivos y muertos.",1
El panorama quizás es menos desolador en Europa.,0
"En la ciudad de Soria, un viejo olmo rinde homenaje a Antonio Machado.",1
"Se pueden comer asadas (normalmente, se les quita la cabeza, las patas y las alas) o bien en salsa, como acompañamiento de carnes, cereales o verduras.",0
También te darás cuenta de lo que necesita atención y de lo que todavía necesita bastante práctica.,0
"A los diecisiete años, ya daba clases de literatura en una escuela y, concluidos sus estudios, pasó a enseñar en la Universidad Nacional de Colombia.",1
"Así, dentro de las aulas todos los juguetes están he.",0
"esta intoxicación informativa está ligada a otra patología asociada: la ansiedad por informarse, o infomanía, que se caracteriza por la búsqueda constante de estímulos informativos y una agobiante sensación de angustia y vacío que es necesario llenar con más información.",1
–¡Zenaida!¡Perdóname!¡He venido a pedirte que seas mi esposa!,0
"El nombre ""base"" viene del acrónimo inglés BASE: building (edificio), antenna (antena), span (arco de un puente), earth (tierra).",1
Hay de aquéllos que no ven la necesidad de la Historia.,1
"Un medio puede pretender entregar las noticias lo más rápido posible, mientras el foco de otro medio puede ser privilegiar información de fondo.",1
No me fue posible identificarlo.,0
"Muchos aficionados abandonaban el estadio, otros simplemente lloraban desconsoladamente.",0
"En los peores lugares viven los trabajadores en condiciones misera-bles, mientras que las mejores zonas se reservan para la burguesía.",1
"Si en las tiendas se hace creer que estas tallas son propias de «bichos raros», parece comprensible que adelgazar pueda convertirse en una obsesión que acarree graves enfermedades.",0
"Caminaron mucho buscándola, pero no la encontraban, hasta que un día, en un valle rodeado de bellas montañas, la vara se hundió perfectamente en el suelo y, entonces, comprendieron que aquel era el lugar.",0
Laura Restrepo nació en Bogotá en 1950.,0
"Se lo voy a contar a Lucía, y a ustedes, porque es divertido.",0
"Durante mucho tiempo, en el ámbito de las noticias ha existido algo así como «el momento de la verdad».",1
"Uno es la forma geométrica de las ciudades, con grandes edificios y zonas pavimentadas.",1
¿Quiénes los han grabado y con qué intención?,0
Las clases se adaptan al nivel de expresión oral de este último y se estructuran para que alcance un progreso significativo a medida que se avanza en las sesiones.,1
"Otros tiburones se acercaron a la balsa, pacientemente, y estuvieron merodeando hasta cuando anocheció por completo.",0
"Si l música va para atrás, quien sal-rá perjudicado será el país.",0
"Es claro el desfase que existe entre equipos, lenguaje y programas en contraste con la evolución, y la capacitación de sus usuarios para ""dominarlos y sacarles pleno provecho* La sociedad debe adquirir nuevos conocimientos, capacidades y aptitudes para adquirir competencia, una intervención activa en este medio, buscando desarrollar las nociones de creación e innovación.",1
"En mi último trabajo conseguí que los dos niños a mi cargo aprobaran el curso sin problemas"".",1
"La verdad es que viví con plenitud, jamás tuve un vacío existencial.",0
Con ellas he tenido la oportunidad de colaborar en múltiples ocasiones a lo largo de mi corta carrera.,1
"Además, creo que cuando compartes tu vida con alguien, ya no tienes que pensar solo en ti, sino en la familia que has creado.",0
"Internet y demás tecnologías son tal vez la plataforma clave de lo que conocemos como nueva economía y el canal de transmisión por excelencia de la ""aldea global"".",1
Así que empezaron a ponerse un abalorio con forma de ojo.,1
"Los nervios revolucionaron a Brasil, que carecía por completo de sentido de juego.",1
"Además, es la primera vez que el Real Madrid pierde en un choque de Liga en el que marca Cristiano Ronaldo algún tanto.",0
"Te mantienes de pie, erguido, con los pies juntos.",0
Cada estudiante de baile sigue un ritmo de aprendizaje diferente.,1
