"Texto","Sarcasmo"
"Así son las grabaciones que comprometen a Fernández Díaz","1"
"Clan TV no sabe cómo preparar a los niños para la matanza de Peppa Pig","1"
"Muelas de elefante y casuarios: así aprenden ecología alumnos de Estepona","0"
"Qué bien, las discusiones solo fortalecen la relación, ¿verdad?","1"
"Clásicos en Alcalá dedica este año a Cervantes parte de su programación","0"
"Jálame el dedo.","0"
"El baño gastronómico del agua termal","0"
"El regreso a la escena pública de Kate Middleton acapara la atención en la ceremonia de aniversario de Carlos III","0"
"Comparativa: Ir a Granada en tren vs. Volver a Madrid en Falcon","1"
"El Gobierno cobrará una tasa a los que se levanten con energía","1"
"Arte para reparar heridas","0"
"Se come a un ser humano a dentelladas y luego pide el café con sacarina","1"
"Amancio Ortega se compra 32.000.000.000 hamburguesas en la promoción de hamburguesas a dos euros de Burger King","1"
"Un hombre golpea a la primera ministra danesa, la socialdemócrata Mette Frederiksen","0"
"La nueva Bagdad","0"
"La Fiscalía quiere elevar la condena a Villarejo y recurre la absolución por el delito de cohecho","0"
"Un fontanero recibe una oferta de Hollywood para adaptar su último trabajo al cine porno","1"
"El Sol alcanza una temperatura cercana a la de un Cappuccino del Starbucks","1"
"Condenada la Sanidad de Castilla y León a pagar 85.000 euros a la familia de una mujer que murió con covid pese a ingresar sin el virus","0"
"Arguiñano obtiene el tercer grado y podrá salir de la cárcel en 2029 tras su chiste sobre una violación","1"
"Qué hacer este fin de semana en Madrid: una cata de vino con maridaje en el salón de tu casa","0"
"Se pierde en Ikea y acaba encontrándose a su mujer con su nuevo marido mirando muebles para su nueva casa","1"
"Una eléctrica de California pagará 80 millones de dólares en daños por un incendio forestal de 2017","0"
"Audiencias: La unidad de artificieros se lleva el bote acumulado de Boom","1"
"Un único científico loco escribe todos los artículos de la revista Science","1"
" Oh, no te asustes. Voy en camino.","0"
"Un máster para cada español y otros puntos básicos del programa del Partido Popular","1"
"Soria abandona el Ministerio de Industria para centrarse en la dirección de sus sociedades «offshore»","1"
"Playboy busca la polémica con un desplegable con la palabra «TETAS»","1"
"Sailwiz, la empresa que te permite compartir barco y que explica las fotos de tu ex en Instagram","1"
"Un imbécil le da a «Pulse peatón» sin darse cuenta de que el otro peatón ya había pulsado","1"
"Tras el sueño de Martin Luther King","0"
"Un explorador halla la que podría ser la tumba de Bucéfalo, el caballo de Alejandro Magno","0"
"El Gobierno regulará las conversaciones con los obreros que vienen a casa","1"
"Una nueva esperanza para enfermos de Andrade","0"
"Cómo preparar a tu inquilino para decirle que le vas a subir mil euros el alquiler","1"
"La obsesión enfermiza de Miguel Ángel","0"
"La jueza acusa a la alcaldesa de Motril de malversación de caudales públicos","0"
"Los desahucios de vivienda habitual siguen a la baja con una caída del 20,7% en el primer trimestre","0"
"Estudiantes y Força Lleida se jugarán el ascenso a la Liga Endesa","0"
"Convenio para el reciclaje de residuos sólidos","0"
